doc_1	1575918221013979136
doc_2	1575918081461080065
doc_3	1575917992390823936
doc_4	1575917907774967809
doc_5	1575917878410301441
doc_6	1575917759707299841
doc_7	1575917751360593920
doc_8	1575917748978434053
doc_9	1575917670049857538
doc_10	1575917624298307585
doc_11	1575916840286507009
doc_12	1575916494990417920
doc_13	1575916461620690977
doc_14	1575916233102217217
doc_15	1575915883385409537
doc_16	1575915806319427621
doc_17	1575915601012281344
doc_18	1575915581278420992
doc_19	1575915545869750272
doc_20	1575915251169574912
doc_21	1575915211336605698
doc_22	1575915151890399232
doc_23	1575914957362712576
doc_24	1575914711388139520
doc_25	1575914586791763968
doc_26	1575914563886727169
doc_27	1575914279295156224
doc_28	1575914207052283925
doc_29	1575914059031101452
doc_30	1575913989195718657
doc_31	1575913861957369856
doc_32	1575913773818605568
doc_33	1575913727651479553
doc_34	1575913655102713856
doc_35	1575913623867650048
doc_36	1575913620768456705
doc_37	1575913596437004288
doc_38	1575913366694264832
doc_39	1575913345852788736
doc_40	1575913322754756608
doc_41	1575912858004561920
doc_42	1575912666488791040
doc_43	1575912627796029440
doc_44	1575912541384941568
doc_45	1575912514512117760
doc_46	1575912513090486277
doc_47	1575912463945519105
doc_48	1575912174157172741
doc_49	1575912018489794560
doc_50	1575911896447913985
doc_51	1575911882040709120
doc_52	1575911865284235264
doc_53	1575911830798888960
doc_54	1575911455806742528
doc_55	1575911381534388225
doc_56	1575911251393142784
doc_57	1575911059759636481
doc_58	1575910966206038016
doc_59	1575910964112740352
doc_60	1575910947817811968
doc_61	1575910938858860545
doc_62	1575910853660274688
doc_63	1575910831191035904
doc_64	1575910562197753857
doc_65	1575910456551964673
doc_66	1575910309768069120
doc_67	1575909988618231809
doc_68	1575909932158681088
doc_69	1575909930481205261
doc_70	1575909824935907328
doc_71	1575909819810484224
doc_72	1575909709575753728
doc_73	1575909544622186496
doc_74	1575909522849550336
doc_75	1575909468327796737
doc_76	1575909396294807553
doc_77	1575909339994279936
doc_78	1575909282364944384
doc_79	1575909279566946304
doc_80	1575909161317019648
doc_81	1575909149174468608
doc_82	1575909121517240320
doc_83	1575909051380432896
doc_84	1575908958438506496
doc_85	1575908773553909761
doc_86	1575908722077229056
doc_87	1575908651658641408
doc_88	1575908646126747648
doc_89	1575908513246740480
doc_90	1575908410649825281
